date,original_value,rolling_7d_mean,rolling_7d_std,rolling_30d_mean,rolling_30d_min,rolling_30d_max,rolling_7d_centered,expanding_mean,ewm_span_7,ewm_span_30,ewm_alpha_0.3,rolling_7d_range,rolling_7d_min_periods
2023-01-01,98.66786460722943,98.66786460722943,,98.66786460722943,98.66786460722943,98.66786460722943,98.68740210903398,98.66786460722943,98.66786460722943,98.66786460722943,98.66786460722943,0.0,
2023-01-02,98.65034700876636,98.65910580799789,0.012386812663336695,98.65910580799789,98.65034700876636,98.66786460722943,98.67027503780237,98.65910580799789,98.66348520761366,98.66673443958666,98.6626093276905,0.01751759846307266,
2023-01-03,98.73424580873436,98.68415247491005,0.044257464163727125,98.68415247491005,98.65034700876636,98.73424580873436,98.67211985155252,98.68415247491005,98.68117535789384,98.67109001178974,98.68410027200365,0.0838987999679972,98.68415247491005
2023-01-04,98.69715101140577,98.68740210903398,0.03671588090404461,98.68740210903398,98.65034700876636,98.73424580873436,98.67918593602208,98.68740210903398,98.68516927127182,98.67277136660368,98.68801549382428,0.0838987999679972,98.68740210903398
2023-01-05,98.60176675287592,98.67027503780237,0.04977674936939644,98.67027503780237,98.60176675287592,98.73424580873436,98.68882887490642,98.67027503780237,98.66431864167285,98.66819042378255,98.66214087153976,0.13247905585843966,98.67027503780237
2023-01-06,98.68134392030338,98.67211985155252,0.04475041730379526,98.67211985155252,98.60176675287592,98.73424580873436,98.70127235720288,98.67211985155252,98.66857496133048,98.66903903646131,98.66790178616884,0.13247905585843966,98.67211985155252
2023-01-07,98.72158244283928,98.67918593602208,0.044925939672985464,98.67918593602208,98.60176675287592,98.73424580873436,98.70431044727005,98.67918593602208,98.68182683170768,98.672428933647,98.68400598316997,0.13247905585843966,98.67918593602208
2023-01-08,98.73536517941994,98.68882887490642,0.04913768300031959,98.6862083414468,98.60176675287592,98.73536517941994,98.70536725614215,98.6862083414468,98.69521141863575,98.6764893366001,98.69941374204495,0.13359842654402598,98.68882887490642
2023-01-09,98.73745138484152,98.70127235720288,0.048796318223426,98.6919020129351,98.60176675287592,98.73745138484152,98.72921661236191,98.6919020129351,98.7057714101872,98.68042237197052,98.71082503488391,0.13568463196560288,98.70127235720288
2023-01-10,98.75551243920452,98.70431044727005,0.05176326252569312,98.69826305556205,98.60176675287592,98.75551243920452,98.74951086767699,98.69826305556205,98.71820666744154,98.68526689243724,98.72423125618009,0.1537456863286053,98.70431044727005
